koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_teq,kepid,kepoi_name,koi_disposition,koi_pdisposition
0.0,0,1,0,0,0.878803439,0.467,2.74503,411000.0,524.8,1347.0,4902030,K06467.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.560158562,0.712,3.4248,240000.0,459.9,1223.0,4908495,K06468.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,34.18830271,0.957,3.01179,118000.0,2594.9,660.0,4912589,K06469.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,1,8.65303996,0.369,1.091,497.0,14.7,764.0,4914709,K06470.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,1,8.65311903,0.701,1.273,207.0,8.9,493.0,4914737,K06471.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,1,1,1,12.4253812,0.1583,19.781,115.0,26.8,823.0,5471141,K06584.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,1,12.42555999,0.9066,28.083,2960.0,122.0,599.0,5471328,K06585.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,1,12.4257442,0.963,29.122,936.0,49.6,1551.0,5471415,K06586.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,1,12.4254241,0.938,24.98,379.0,36.0,755.0,5471480,K06587.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.991884392,0.496,7.5583,124000.0,1280.3,1486.0,5475712,K06588.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.795273026,0.935,7.3232,125000.0,877.8,1642.0,5479973,K06589.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,1,1,0.755109271,0.4041,2.619,23.2,12.9,1961.0,5513822,K06590.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,1,0.755101141,0.523,3.371,76.7,13.4,680.0,5513833,K06591.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,0,1,1.75251585,0.738,3.489,126.0,14.2,1447.0,6471229,K06719.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,1,1.752450163,0.728,3.0255,55.5,3.4,1552.0,6471230,K06720.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,0,8.27923132,0.187,2.355,165.0,10.9,815.0,6521174,K06721.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.212877035,0.518,4.66961,376000.0,2731.0,1507.0,6521542,K06722.01,FALSE POSITIVE,FALSE POSITIVE
0.001,0,0,1,0,0.845097627,0.717,1.873,86.5,10.7,1584.0,6522353,K06723.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,17.44564047,0.588,6.08966,334000.0,4093.9,682.0,6522750,K06724.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,14.31315739,0.004,8.90236,21600.0,4262.9,1144.0,6523216,K06725.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,0.676990194,1.223,1.69459,20500.0,997.0,1919.0,6531485,K06726.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,0.515875396,0.95,1.21,1770.0,9.1,3189.0,6531801,K06727.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,2.83401711,0.2794,5.938,84.2,11.5,1381.0,7281356,K06853.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,0.566803996,0.123,3.399,142.0,23.4,1350.0,7281399,K06854.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,1,0.56681118,0.537,2.06,421.0,23.0,878.0,7281410,K06855.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,0.566799927,0.188,4.71,145.0,28.9,1649.0,7281616,K06856.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,0.566786121,0.591,3.404,81.8,14.0,1984.0,7281699,K06857.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,1,0.56679797,0.176,4.503,72.6,14.0,1799.0,7282008,K06858.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,1,0.566802891,0.628,1.861,49.2,14.4,3111.0,7285616,K06859.01,FALSE POSITIVE,FALSE POSITIVE
0.997,0,0,0,0,0.576732089,0.518,1.856,35.4,9.1,1537.0,7335514,K06860.01,CANDIDATE,CANDIDATE
0.334,0,0,0,1,1.01884975,0.2737,3.233,30.9,14.8,1754.0,8178616,K06984.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,10.9279755,0.0956,2.486,71.5,7.3,834.0,8180290,K06985.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,32.4403392,0.645,4.50984,288000.0,2177.0,448.0,8183389,K06986.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,1,0,0.552141897,1.091,4.985,106.0,42.8,2206.0,8192861,K06987.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.62387291,0.49,4.61248,232000.0,2607.6,1790.0,8193315,K06988.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,0,0.75509861,1.091,2.6423,60300.0,385.4,2359.0,8195877,K06989.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,0,3.671661096,0.923,4.29947,129000.0,3152.6,1967.0,8196180,K06990.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,22.67314568,0.605,6.6324,65400.0,912.0,684.0,8210721,K06991.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,0.50948306,0.3535,3.14,74.6,8.0,3024.0,8977176,K07119.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,17.32996587,0.705,8.43812,253000.0,1938.7,548.0,9001468,K07120.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.890227354,0.957,3.855,112000.0,252.0,1236.0,9005854,K07121.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.387206724,0.856,3.82527,151000.0,1752.6,2619.0,9007918,K07122.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,1,1.38718209,0.28,2.595,45.5,7.2,1707.0,9007953,K07123.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,35.02656485,0.777,2.90121,120000.0,1607.2,489.0,9024857,K07124.01,FALSE POSITIVE,FALSE POSITIVE
0.999,0,0,0,0,7.918267,0.219,3.478,83.7,8.4,953.0,9025739,K07125.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,3.138580493,0.619,4.16343,233000.0,2387.8,1281.0,9029486,K07126.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,9.26147679,0.537,1.77,421.0,23.0,878.0,9906802,K07250.01,FALSE POSITIVE,FALSE POSITIVE
0.334,1,0,0,0,581.0723,88.7243,15.81,1360.0,15.9,639.0,9906841,K07251.01,FALSE POSITIVE,FALSE POSITIVE
0.791,0,0,0,0,10.2170589,0.132,2.259,121.0,7.9,929.0,9909965,K07252.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,3.50474265,1.049,8.2852,88600.0,977.2,2689.0,9913481,K07253.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.14344093,0.686,3.9741,133000.0,645.9,1033.0,9913798,K07254.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,86.95432088,0.537,12.11,421.0,23.0,878.0,9932197,K07255.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,9.058487716,0.213,4.14334,128000.0,2098.9,547.0,9934208,K07256.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.856085147,0.841,4.5776,174000.0,422.1,1739.0,9936698,K07257.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,0,0.876941133,0.386,1.296,73.5,12.3,1938.0,10867017,K07384.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,39.23814157,0.459,6.07183,439000.0,969.3,656.0,10909274,K07385.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,0,53.7406575,0.386,47.2475,117000.0,3568.1,398.0,10920813,K07386.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,7.436016459,0.433,4.16284,107000.0,742.1,968.0,10923260,K07387.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,1,0.750737313,0.463,1.712,38.8,13.4,1603.0,10924400,K07388.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,27.5837778,0.0221,1.516,203.0,8.5,1330.0,10932270,K07389.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,14.36102158,0.003,13.2895,460000.0,2599.0,594.0,10936427,K07390.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.570431263,1.054,5.49699,76800.0,822.9,1411.0,10937609,K07391.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,6.64024496,0.756,6.03491,224000.0,2941.0,1114.0,10965963,K07392.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,14.84424039,0.275,6.83577,83400.0,4542.8,810.0,12251779,K07517.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,4.42158021,1.146,10.4532,61000.0,370.6,2565.0,12268220,K07518.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,25.32169873,0.954,4.45367,120000.0,673.3,655.0,12302391,K07519.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,3.14735789,0.03,3.643,51.8,9.3,2209.0,12304728,K07520.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,37.87848359,0.763,10.5972,222000.0,1157.6,503.0,12306808,K07521.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,10.11614452,0.879,2.70314,58100.0,1144.8,549.0,12351927,K07522.01,FALSE POSITIVE,FALSE POSITIVE
